inst_id,name,lead_actor,year,status,entry_condition,values_gate,accession_normative_test,open_to_all,global_south_priority,function,orientation,development_orientation,legal_force,definedness,p_safety,p_rights,p_sovereignty,p_development,p_open,p_standards,p_sustainability,norm_orientation,breadth,source_url
waico,World AI Cooperation Organization,China,2025,proposed,universal-open,0,0,1,1,capacity-building,distributive,2,proposed,1,1,0.625,0.5,1,1,1,1,0.875,1.0,https://english.www.gov.cn/news/202507/26/content_WS6884bea8c6d0868f4e8f4732.html
china_init,Global AI Governance Initiative,China,2023,operating,universal-open,0,0,1,1,norms,distributive,2,declaration,1,1,1,1,1,0.625,0.5,0.5,0.625,1.0,https://www.mfa.gov.cn/eng/zy/gb/202405/t20240531_11367503.html
gpai,Global Partnership on AI,West (G7),2020,operating,values-gated,1,1,0,0,research,regulatory,1,soft-law,4,0.25,1,0,0.5,0,0,0,-0.75,0.5,https://2021-2025.state.gov/joint-statement-from-founding-members-of-the-global-partnership-on-artificial-intelligence/
oecd_ai,OECD AI Principles (OECD/LEGAL/0449),OECD,2019,operating,capability-gated,1,1,0,0,standards,regulatory,0,soft-law,4,1,1,0.125,0.875,0.75,0.875,0.75,-0.25,0.5,https://legalinstruments.oecd.org/en/instruments/OECD-LEGAL-0449
eu_aiact,EU AI Act (Reg 2024/1689),EU,2024,operating,regional,1,0,0,0,rule-making,regulatory,0,binding,5,1,1,0.125,0.25,0,0.75,0.5,-1.625,0.33,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng
coe_fcai,Council of Europe Framework Convention on AI (CETS 225),Council of Europe,2024,operating,values-gated,1,1,0,0,rule-making,regulatory,0,binding,4,0.5,1,0.25,0,0,0,0,-1.25,0.4,https://www.coe.int/en/web/portal/-/council-of-europe-opens-first-ever-global-treaty-on-ai-for-signature
g7_hiroshima,G7 Hiroshima AI Process,G7,2023,operating,values-gated,1,1,0,0,standards,regulatory,0,soft-law,3,1,1,0.5,0.5,0.25,1,0.5,-0.75,0.3,https://www.mofa.go.jp/files/100573473.pdf
bletchley,AI Safety Summit / Bletchley Declaration,UK-led,2023,operating,club-invitation,1,0,0,0,safety-science,regulatory,0,declaration,2,1,0.875,0.5,0.625,0.125,0.25,0.375,-0.625,0.6,https://www.gov.uk/government/publications/ai-safety-summit-2023-the-bletchley-declaration/the-bletchley-declaration-by-countries-attending-the-ai-safety-summit-1-2-november-2023
seoul,AI Seoul Summit / Seoul Declaration,UK-Korea,2024,operating,club-invitation,1,0,0,0,safety-science,regulatory,1,declaration,2,1,0.875,0.125,1,0.125,0.625,0.5,-0.625,0.55,https://www.industry.gov.au/publications/seoul-declaration-countries-attending-ai-seoul-summit-21-22-may-2024
aisi_net,International Network of AI Safety Institutes,US-led,2024,operating,values-gated,1,1,0,0,safety-science,regulatory,0,soft-law,3,1,0.5,0.25,0.5,0.375,0.875,0,-0.375,0.25,https://www.nist.gov/news-events/news/2024/11/fact-sheet-us-department-commerce-us-department-state-launch-international
un_dialogue,UN Global Dialogue on AI + Independent Scientific Panel,UN,2025,operating,universal-open,1,0,1,1,coordination,mixed,2,declaration,3,0.625,0.875,0,1,0.5,0.5,0.125,0,1.0,https://www.un.org/global-digital-compact/en/ai
unesco_rec,UNESCO Recommendation on the Ethics of AI,UNESCO,2021,operating,universal-open,1,0,1,1,norms,mixed,2,soft-law,3,0.75,1,0.5,0.625,0.25,0.125,1,-0.375,1.0,https://www.unesco.org/en/artificial-intelligence/recommendation-ethics
au_strategy,African Union Continental AI Strategy,African Union,2024,operating,regional,0,0,0,1,capacity-building,distributive,2,strategy,2,1,1,0.625,1,0.5,0.625,0.5,0.125,0.33,https://au.int/en/documents/20240809/continental-artificial-intelligence-strategy
asean_guide,ASEAN Guide on AI Governance and Ethics,ASEAN,2024,operating,regional,0,0,0,1,standards,distributive,1,soft-law,2,1,1,0.25,0.5,0,0.5,0.5,-1.25,0.33,https://asean.org/wp-content/uploads/2025/01/Expanded-ASEAN-Guide-on-AI-Governance-and-Ethics-Generative-AI.pdf
brics_ai,BRICS Statement on the Global Governance of AI,BRICS,2025,operating,club-invitation,0,0,0,1,capacity-building,distributive,2,declaration,1,1,1,1,1,1,0.875,1,1,0.4,https://brics.br/en/documents/presidency-documents/250706_brics_ggai_declarationfinal.pdf
